"#","Chapter","Activity id","Drill / Exercise","Kind","Status","ORIGINAL Audio plays?","ORIGINAL Behavior on correct?","ORIGINAL Behavior on incorrect?","ORIGINAL Prev/Next?","TARGET audioTiming","TARGET advanceClass","TARGET Behavior on correct?","TARGET Behavior on incorrect?","TARGET Prev/Next?","TARGET pronounceEach default","Notes"
"11","1","c1_ex_transcribe","Transcribe to Greek Exercise","Exercise","CONFIRMED","after guess","mark correct/autoprogress","mark incorrect/give correct answer/autoprogress","no","afterGuess","autoBoth","auto-advance","reveal answer, auto-advance","no","yes","mark incorrect/give correct answer/autoprogress after 4 sec, correct to only play audio AFTER guess"
"12","1","c1_ex_phonetic","Phonetic Reading Exercise","Exercise","CONFIRMED","no audio/NA","n/a - not scored","n/a - not scored","yes","none","none","not scored","not scored","yes","n/a","KEEP AS IS"
"13","1","c1_ex_reading_people_places","Reading People, Places and Letters Exercise","Exercise","CONFIRMED","after guess","n/a - not scored","n/a - not scored","yes","afterGuess","none","not scored","not scored","yes","yes","KEEP AS IS"
"14","1","c1_ex_speller","Vocabulary Spelling Exercise","Exercise","CONFIRMED","after guess","mark correct/autoprogress","mark incorrect/don't give correct answer/clear slate for retry/guess until right or click next to continue","yes","afterGuess","spellUntilRight","wait for Next","no answer revealed, slate kept, retry or Next","yes","yes","KEEP AS IS (departing from original - DO NOT clear slate after wrong guess, that's what the manual clear button is for). Audio DOES currently play after correct answer, but it plays overtop of the next question. It should play and finish playing BEFORE the next question displays, even if we need to extend the pause beyond 2 seconds to play the full audio. Otherwise this causes confusion. ALSO, 'Pronounce Each Exercise' should be selected by default here and it is not"
"15","2","c2_drill_syllable_counting","Syllable Counting Drill","Drill","CONFIRMED","before guess","mark correct/autoprogress","mark incorrect/give correct answer/guess until right or click next to continue","yes","beforeGuess","retryUntilRight","auto-advance","no answer revealed, item stays open","yes","yes","KEEP AS IS (departing from original - DON'T give the correct answer)"
"16","2","c2_drill_accent_rule","Accent Rule Drill","Drill","CONFIRMED","before guess","mark correct/autoprogress","mark incorrect/give correct answer/no autoprogress/click next to continue","yes","beforeGuess","manualOnIncorrect","auto-advance","reveal answer, wait for Next","yes","yes","KEEP AS IS, however in the Hint dialogue 'Nouns are retentive' and 'Verbs are recessive' should be underlined, and each of the 6 points should use a hanging indent"
"17","2","c2_drill_marking_recognition","Marking Recognition Drill","Drill","CONFIRMED","before guess","mark correct/autoprogress","mark incorrect/give correct answer/no autoprogress/click next to continue","yes","beforeGuess","manualOnIncorrect","auto-advance","reveal answer, wait for Next","yes","yes","mark incorrect/give correct answer/no autoprogress/click next to continue"
"18","2","c2_drill_part_of_speech","Part of Speech Drill","Drill","CONFIRMED","no audio/NA","mark correct/autoprogress","mark incorrect/give correct answer/no autoprogress/click next to continue","yes","none","manualOnIncorrect","auto-advance","reveal answer, wait for Next","yes","n/a","mark incorrect/give correct answer/no autoprogress/click next to continue"
"19","2","c2_drill_vocab_gk_en","Vocabulary: Greek to English Drill","Drill","CONFIRMED","before guess","mark correct/autoprogress","mark incorrect/give correct answer/autoprogress","no","beforeGuess","autoBoth","auto-advance","reveal answer, auto-advance","no","yes","mark incorrect/give correct answer/autoprogress after 4 sec"
"20","2","c2_drill_vocab_en_gk","Vocabulary: English to Greek Drill","Drill","CONFIRMED","after guess","mark correct/autoprogress","mark incorrect/give correct answer/autoprogress","no","afterGuess","autoBoth","auto-advance","reveal answer, auto-advance","no","yes","mark incorrect/give correct answer/autoprogress after 4 sec, correct to only play audio AFTER guess"
"21","2","c2_ex_syllable_division","Syllable Division Exercise","Exercise","CONFIRMED","after guess","mark correct/no autoprogress","mark incorrect/give correct answer/autoprogress","yes","afterGuess","manualCorrectAutoIncorrect","wait for Next","reveal answer, auto-advance","yes","yes","mark incorrect/give correct answer/autoprogress after 4 sec, correct to only play audio AFTER guess"
"22","2","c2_ex_accent_placement","Accent Mark Placement Exercise","Exercise","CONFIRMED","after guess","mark correct/no autoprogress","mark incorrect/give correct answer/autoprogress","yes","afterGuess","manualCorrectAutoIncorrect","wait for Next","reveal answer, auto-advance","yes","yes","mark incorrect/give correct answer/autoprogress after 4 sec, correct to only play audio AFTER guess"
"23","2","c2_ex_speller","Vocabulary Spelling Exercise","Exercise","CONFIRMED","after guess","mark correct/no autoprogress","mark incorrect/don't give correct answer/clear slate for retry/guess until right or click next to continue","yes","afterGuess","spellUntilRight","wait for Next","no answer revealed, slate kept, retry or Next","yes","yes","KEEP AS IS (departing from original - DO NOT clear slate after wrong guess, that's what the manual clear button is for). Audio DOES currently play after correct answer, but it plays overtop of the next question. It should play and finish playing BEFORE the next question displays, even if we need to extend the pause beyond 2 seconds to play the full audio. Otherwise this causes confusion. ALSO, 'Pronounce Each Exercise' should be selected by default here and it is not."
"24","3","c3_drill_verb_translating","Verb Translating Drill","Drill","CONFIRMED","before guess","mark correct/autoprogress","mark incorrect/give correct answer/no autoprogress/click next to continue","yes","beforeGuess","manualOnIncorrect","auto-advance","reveal answer, wait for Next","yes","yes","KEEP AS IS"
"25","3","c3_drill_greek_verb","Greek Verb Drill","Drill","CONFIRMED","after guess","mark correct/autoprogress","mark incorrect/give correct answer/no autoprogress/click next to continue","yes","afterGuess","manualOnIncorrect","auto-advance","reveal answer, wait for Next","yes","yes","KEEP AS IS"
"26","3","c3_drill_parsing","Parsing Drill","Drill","CONFIRMED","before guess","mark correct/autoprogress","mark incorrect/give correct answer/no autoprogress/click next to continue","yes","beforeGuess","manualOnIncorrect","auto-advance","reveal answer, wait for Next","yes","yes","KEEP AS IS"
"27","3","c3_drill_vocab_gk_en","Vocabulary: Greek to English Drill","Drill","CONFIRMED","before guess","mark correct/autoprogress","mark incorrect/give correct answer/autoprogress","no","beforeGuess","autoBoth","auto-advance","reveal answer, auto-advance","no","yes","mark incorrect/give correct answer/autoprogress after 4 sec; remove Next/Previous buttons"
"28","3","c3_drill_vocab_en_gk","Vocabulary: English to Greek Drill","Drill","CONFIRMED","after guess","mark correct/autoprogress","mark incorrect/give correct answer/autoprogress","no","afterGuess","autoBoth","auto-advance","reveal answer, auto-advance","no","yes","mark incorrect/give correct answer/autoprogress after 4 sec, correct to only play audio AFTER guess; remove Next/Previous buttons"
"29","3","c3_drill_scripture_memory","Scripture Memory Drill","Drill","CONFIRMED","before guess","mark correct/autoprogress","mark incorrect/give correct answer/autoprogress","no","beforeGuess","autoBoth","auto-advance","reveal answer, auto-advance","no","yes","KEEP AS IS"
"30","3","c3_ex_verb_speller","Present Active Verb Spelling Exercise","Exercise","CONFIRMED","after guess","mark correct/no autoprogress","mark incorrect/don't give correct answer/clear slate for retry/guess until right or click next to continue","yes","afterGuess","spellUntilRight","wait for Next","no answer revealed, slate kept, retry or Next","yes","yes","KEEP AS IS (departing from original - DO NOT clear slate after wrong guess, that's what the manual clear button is for). Audio DOES currently play after correct answer, but it plays overtop of the next question. It should play and finish playing BEFORE the next question displays, even if we need to extend the pause beyond 2 seconds to play the full audio. Otherwise this causes confusion. ALSO, 'Pronounce Each Exercise' should be selected by default here and it is not."
"31","3","c3_ex_vocab_speller","Vocabulary Spelling Exercise","Exercise","CONFIRMED","after guess","mark correct/no autoprogress","mark incorrect/don't give correct answer/clear slate for retry/guess until right or click next to continue","yes","afterGuess","spellUntilRight","wait for Next","no answer revealed, slate kept, retry or Next","yes","yes","KEEP AS IS (departing from original - DO NOT clear slate after wrong guess, that's what the manual clear button is for). Audio DOES currently play after correct answer, but it plays overtop of the next question. It should play and finish playing BEFORE the next question displays, even if we need to extend the pause beyond 2 seconds to play the full audio. Otherwise this causes confusion. ALSO, 'Pronounce Each Exercise' should be selected by default here and it is not."
"32","3","c3_ex_scripture_speller","Scripture Memory Spelling Exercise","Exercise","CONFIRMED","unknown","mark correct/no autoprogress","mark incorrect/don't give correct answer/DO NOT clear slate for retry/guess until right or click next to continue","NA","afterGuess","spellUntilRight","wait for Next","no answer revealed, slate kept, retry or Next","NA","yes","KEEP AS IS but play audio also after successful spelling"
"33","4","c4_drill_greek_noun","Greek Noun Drill","Drill","CONFIRMED","after guess","mark correct/autoprogress","mark incorrect/give correct answer/no autoprogress/click next to continue","yes","afterGuess","manualOnIncorrect","auto-advance","reveal answer, wait for Next","yes","yes","KEEP AS IS"
"34","4","c4_drill_declining","Declining Noun Drill","Drill","CONFIRMED","before guess","mark correct/autoprogress","mark incorrect/give correct answer/no autoprogress/click next to continue","yes","beforeGuess","manualOnIncorrect","auto-advance","reveal answer, wait for Next","yes","yes","KEEP AS IS"
"35","4","c4_drill_vocab_gk_en","Vocabulary: Greek to English Drill","Drill","CONFIRMED","before guess","mark correct/autoprogress","mark incorrect/give correct answer/autoprogress","no","beforeGuess","autoBoth","auto-advance","reveal answer, auto-advance","no","yes","mark incorrect/give correct answer/autoprogress after 4 sec"
"36","4","c4_drill_vocab_en_gk","Vocabulary: English to Greek Drill","Drill","CONFIRMED","after guess","mark correct/autoprogress","mark incorrect/give correct answer/autoprogress","no","afterGuess","autoBoth","auto-advance","reveal answer, auto-advance","no","yes","mark incorrect/give correct answer/autoprogress after 4 sec, correct to only play audio AFTER guess"
"37","4","c4_drill_scripture_memory","Scripture Memory Drill","Drill","CONFIRMED","before guess","mark correct/autoprogress","mark incorrect/give correct answer/autoprogress","no","beforeGuess","autoBoth","auto-advance","reveal answer, auto-advance","no","yes","KEEP AS IS"
"38","4","c4_ex_noun_speller","Second Declension Noun Spelling Exercise","Exercise","CONFIRMED","after guess","mark correct/no autoprogress","mark incorrect/don't give correct answer/clear slate for retry/guess until right or click next to continue","yes","afterGuess","spellUntilRight","wait for Next","no answer revealed, slate kept, retry or Next","yes","yes","KEEP AS IS (departing from original - DO NOT clear slate after wrong guess, that's what the manual clear button is for). Audio DOES currently play after correct answer, but it plays overtop of the next question. It should play and finish playing BEFORE the next question displays, even if we need to extend the pause beyond 2 seconds to play the full audio. Otherwise this causes confusion. ALSO, 'Pronounce Each Exercise' should be selected by default here and it is not."
"39","4","c4_ex_vocab_speller","Vocabulary Spelling Exercise","Exercise","CONFIRMED","after guess","mark correct/no autoprogress","mark incorrect/don't give correct answer/clear slate for retry/guess until right or click next to continue","yes","afterGuess","spellUntilRight","wait for Next","no answer revealed, slate kept, retry or Next","yes","yes","KEEP AS IS (departing from original - DO NOT clear slate after wrong guess, that's what the manual clear button is for). Audio DOES currently play after correct answer, but it plays overtop of the next question. It should play and finish playing BEFORE the next question displays, even if we need to extend the pause beyond 2 seconds to play the full audio. Otherwise this causes confusion. ALSO, 'Pronounce Each Exercise' should be selected by default here and it is not."
"40","4","c4_ex_scripture_speller","Scripture Memory Spelling Exercise","Exercise","CONFIRMED","unknown","mark correct/no autoprogress","mark incorrect/don't give correct answer/DO NOT clear slate for retry/guess until right or click next to continue","NA","afterGuess","spellUntilRight","wait for Next","no answer revealed, slate kept, retry or Next","NA","yes","KEEP AS IS but play audio also after successful spelling"
"41","5","c5_drill_first_decl_noun","First Declension Noun Drill","Drill","CONFIRMED","after guess","mark correct/autoprogress","mark incorrect/give correct answer/no autoprogress/click next to continue","yes","afterGuess","manualOnIncorrect","auto-advance","reveal answer, wait for Next","yes","yes","KEEP AS IS"
"42","5","c5_drill_declining","Declining Noun Drill","Drill","CONFIRMED","before guess","mark correct/autoprogress","mark incorrect/give correct answer/no autoprogress/click next to continue","yes","beforeGuess","manualOnIncorrect","auto-advance","reveal answer, wait for Next","yes","yes","KEEP AS IS"
"43","5","c5_drill_article","Definite Article Drill","Drill","CONFIRMED","before guess","mark correct/autoprogress","mark incorrect/give correct answer/no autoprogress/click next to continue","yes","beforeGuess","manualOnIncorrect","auto-advance","reveal answer, wait for Next","yes","yes","KEEP AS IS"
"44","5","c5_drill_vocab_gk_en","Vocabulary: Greek to English Drill","Drill","CONFIRMED","before guess","mark correct/autoprogress","mark incorrect/give correct answer/autoprogress","no","beforeGuess","autoBoth","auto-advance","reveal answer, auto-advance","no","yes","mark incorrect/give correct answer/autoprogress after 4 sec"
"45","5","c5_drill_vocab_en_gk","Vocabulary: English to Greek Drill","Drill","CONFIRMED","after guess","mark correct/autoprogress","mark incorrect/give correct answer/autoprogress","no","afterGuess","autoBoth","auto-advance","reveal answer, auto-advance","no","yes","mark incorrect/give correct answer/autoprogress after 4 sec"
"46","5","c5_drill_scripture_memory","Scripture Memory Drill","Drill","CONFIRMED","before guess","mark correct/autoprogress","mark incorrect/give correct answer/autoprogress","no","beforeGuess","autoBoth","auto-advance","reveal answer, auto-advance","no","yes","KEEP AS IS"
"47","5","c5_ex_noun_speller","First Declension Noun Spelling Exercise","Exercise","CONFIRMED","after guess","mark correct/no autoprogress","mark incorrect/don't give correct answer/clear slate for retry/guess until right or click next to continue","yes","afterGuess","spellUntilRight","wait for Next","no answer revealed, slate kept, retry or Next","yes","yes","KEEP AS IS (departing from original - DO NOT clear slate after wrong guess, that's what the manual clear button is for). Audio DOES currently play after correct answer, but it plays overtop of the next question. It should play and finish playing BEFORE the next question displays, even if we need to extend the pause beyond 2 seconds to play the full audio. Otherwise this causes confusion. ALSO, 'Pronounce Each Exercise' should be selected by default here and it is not."
"48","5","c5_ex_article_speller","Definite Article Spelling Exercise","Exercise","CONFIRMED","after guess","mark correct/no autoprogress","mark incorrect/don't give correct answer/clear slate for retry/guess until right or click next to continue","yes","afterGuess","spellUntilRight","wait for Next","no answer revealed, slate kept, retry or Next","yes","yes","KEEP AS IS (departing from original - DO NOT clear slate after wrong guess, that's what the manual clear button is for). Audio DOES currently play after correct answer, but it plays overtop of the next question. It should play and finish playing BEFORE the next question displays, even if we need to extend the pause beyond 2 seconds to play the full audio. Otherwise this causes confusion. ALSO, 'Pronounce Each Exercise' should be selected by default here and it is not."
"49","5","c5_ex_vocab_speller","Vocabulary Spelling Exercise","Exercise","CONFIRMED","after guess","mark correct/no autoprogress","mark incorrect/don't give correct answer/clear slate for retry/guess until right or click next to continue","yes","afterGuess","spellUntilRight","wait for Next","no answer revealed, slate kept, retry or Next","yes","yes","KEEP AS IS (departing from original - DO NOT clear slate after wrong guess, that's what the manual clear button is for). Audio DOES currently play after correct answer, but it plays overtop of the next question. It should play and finish playing BEFORE the next question displays, even if we need to extend the pause beyond 2 seconds to play the full audio. Otherwise this causes confusion. ALSO, 'Pronounce Each Exercise' should be selected by default here and it is not."
"50","5","c5_ex_scripture_speller","Scripture Memory Spelling Exercise","Exercise","CONFIRMED","after guess","mark correct/no autoprogress","mark incorrect/don't give correct answer/DO NOT clear slate for retry/guess until right or click next to continue","NA","afterGuess","spellUntilRight","wait for Next","no answer revealed, slate kept, retry or Next","NA","yes","KEEP AS IS but play audio also after successful spelling"
"51","6","","Preposition Case Drill","Drill","TO FILL","","","","","","","","","","",""
"52","6","","Preposition Translation Drill","Drill","TO FILL","","","","","","","","","","",""
"53","6","","Vocabulary: Greek to English Drill","Drill","TO FILL","","","","","","","","","","",""
"54","6","","Vocabulary: English to Greek Drill","Drill","TO FILL","","","","","","","","","","",""
"55","6","","Scripture Memory Drill","Drill","TO FILL","","","","","","","","","","",""
"56","6","","Preposition Spelling Exercise","Exercise","TO FILL","","","","","","","","","","",""
"57","6","","Vocabulary Spelling Exercise","Exercise","TO FILL","","","","","","","","","","",""
"58","6","","Scripture Memory Spelling Exercise","Exercise","TO FILL","","","","","","","","","","",""
"59","7","","Adjective Case Drill","Drill","TO FILL","","","","","","","","","","",""
"60","7","","Adjective Translation Drill","Drill","TO FILL","","","","","","","","","","",""
"61","7","","Parsing ""Eimi"" Drill","Drill","TO FILL","","","","","","","","","","",""
"62","7","","""Eimi"" Translation Drill","Drill","TO FILL","","","","","","","","","","",""
"63","7","","Vocabulary: Greek to English Drill","Drill","TO FILL","","","","","","","","","","",""
"64","7","","Vocabulary: English to Greek Drill","Drill","TO FILL","","","","","","","","","","",""
"65","7","","Scripture Memory Drill","Drill","TO FILL","","","","","","","","","","",""
"66","7","","Adjective Spelling Exercise","Exercise","TO FILL","","","","","","","","","","",""
"67","7","","""Eimi"" Spelling Exercise","Exercise","TO FILL","","","","","","","","","","",""
"68","7","","Vocabulary Spelling Exercise","Exercise","TO FILL","","","","","","","","","","",""
"69","7","","Scripture Memory Spelling Exercise","Exercise","TO FILL","","","","","","","","","","",""
"70","8","","Personal Pronoun Case Drill","Drill","TO FILL","","","","","","","","","","",""
"71","8","","Personal Pronoun Translation Drill","Drill","TO FILL","","","","","","","","","","",""
"72","8","","Autos Translation Drill","Drill","TO FILL","","","","","","","","","","",""
"73","8","","Vocabulary: Greek to English Drill","Drill","TO FILL","","","","","","","","","","",""
"74","8","","Vocabulary: English to Greek Drill","Drill","TO FILL","","","","","","","","","","",""
"75","8","","Scripture Memory Drill","Drill","TO FILL","","","","","","","","","","",""
"76","8","","Personal Pronoun Spelling Exercise","Exercise","TO FILL","","","","","","","","","","",""
"77","8","","Vocabulary Spelling Exercise","Exercise","TO FILL","","","","","","","","","","",""
"78","8","","Scripture Memory Spelling Exercise","Exercise","TO FILL","","","","","","","","","","",""
